childs,conmedic
0.0,a great deal
2.0,
1.0,
3.0,
0.0,only some
2.0,only some
1.0,a great deal
0.0,
3.0,only some
8.0,only some
0.0,
0.0,a great deal
1.0,hardly any
2.0,
0.0,
3.0,only some
0.0,
2.0,only some
2.0,
3.0,a great deal
0.0,only some
0.0,only some
3.0,only some
3.0,a great deal
1.0,a great deal
1.0,a great deal
3.0,
4.0,only some
3.0,
0.0,
2.0,only some
1.0,only some
0.0,a great deal
1.0,only some
0.0,
2.0,only some
0.0,a great deal
1.0,only some
0.0,
2.0,
2.0,only some
1.0,a great deal
0.0,
1.0,only some
5.0,a great deal
0.0,
1.0,only some
0.0,only some
3.0,a great deal
2.0,
0.0,
0.0,a great deal
0.0,
0.0,only some
0.0,only some
0.0,hardly any
0.0,a great deal
0.0,
0.0,only some
2.0,only some
1.0,only some
0.0,a great deal
0.0,a great deal
1.0,only some
3.0,a great deal
3.0,
0.0,hardly any
2.0,
2.0,only some
2.0,
2.0,a great deal
2.0,
2.0,only some
3.0,
3.0,only some
5.0,only some
4.0,hardly any
3.0,a great deal
3.0,
8.0,only some
5.0,only some
0.0,a great deal
2.0,a great deal
0.0,
0.0,a great deal
8.0,
0.0,hardly any
3.0,a great deal
2.0,
2.0,only some
0.0,
2.0,a great deal
0.0,only some
0.0,a great deal
0.0,a great deal
0.0,only some
4.0,only some
4.0,
0.0,a great deal
1.0,
2.0,
2.0,a great deal
4.0,
1.0,only some
7.0,
0.0,a great deal
1.0,a great deal
3.0,only some
2.0,
0.0,
0.0,a great deal
1.0,only some
0.0,a great deal
1.0,
0.0,a great deal
2.0,only some
0.0,only some
0.0,a great deal
3.0,
0.0,only some
0.0,only some
1.0,a great deal
3.0,
1.0,only some
3.0,
0.0,a great deal
2.0,a great deal
3.0,
1.0,only some
3.0,only some
3.0,
3.0,only some
2.0,hardly any
3.0,only some
4.0,only some
1.0,
4.0,hardly any
1.0,only some
2.0,
3.0,a great deal
0.0,a great deal
0.0,
2.0,only some
3.0,only some
2.0,hardly any
4.0,
5.0,a great deal
4.0,only some
1.0,
0.0,hardly any
3.0,only some
3.0,
2.0,a great deal
7.0,only some
2.0,a great deal
2.0,only some
4.0,
0.0,only some
3.0,a great deal
2.0,only some
1.0,
2.0,a great deal
0.0,a great deal
1.0,
2.0,hardly any
0.0,
0.0,a great deal
2.0,
1.0,only some
4.0,a great deal
2.0,a great deal
1.0,only some
3.0,hardly any
1.0,only some
8.0,
6.0,only some
3.0,hardly any
0.0,hardly any
1.0,only some
7.0,only some
4.0,
3.0,hardly any
4.0,a great deal
0.0,a great deal
3.0,a great deal
0.0,
3.0,
3.0,a great deal
3.0,only some
1.0,
4.0,
4.0,only some
3.0,only some
1.0,hardly any
2.0,a great deal
0.0,
2.0,a great deal
3.0,
7.0,only some
2.0,a great deal
0.0,
2.0,only some
2.0,only some
2.0,only some
0.0,only some
0.0,a great deal
2.0,
4.0,a great deal
2.0,only some
2.0,a great deal
2.0,hardly any
2.0,
0.0,hardly any
2.0,a great deal
3.0,
0.0,
2.0,
2.0,hardly any
4.0,only some
0.0,
2.0,
2.0,a great deal
0.0,
0.0,only some
1.0,only some
2.0,
3.0,only some
3.0,only some
0.0,a great deal
0.0,
2.0,a great deal
3.0,only some
5.0,
2.0,a great deal
0.0,
0.0,only some
0.0,
2.0,only some
1.0,
4.0,only some
2.0,
5.0,a great deal
1.0,only some
1.0,a great deal
2.0,
0.0,only some
1.0,only some
0.0,
1.0,only some
0.0,only some
0.0,a great deal
0.0,
0.0,only some
2.0,
3.0,a great deal
1.0,a great deal
3.0,only some
2.0,only some
2.0,
3.0,a great deal
0.0,
2.0,only some
2.0,a great deal
2.0,
3.0,hardly any
2.0,
3.0,only some
2.0,
1.0,hardly any
0.0,
1.0,a great deal
0.0,
1.0,only some
0.0,
5.0,a great deal
0.0,a great deal
1.0,
5.0,only some
3.0,
0.0,only some
2.0,only some
1.0,a great deal
2.0,a great deal
1.0,only some
2.0,
0.0,only some
0.0,
3.0,only some
2.0,a great deal
1.0,
0.0,a great deal
2.0,
2.0,hardly any
3.0,a great deal
0.0,only some
0.0,only some
2.0,only some
1.0,only some
4.0,
0.0,a great deal
4.0,a great deal
0.0,a great deal
4.0,
0.0,a great deal
2.0,
3.0,a great deal
1.0,a great deal
1.0,
2.0,only some
3.0,only some
2.0,a great deal
2.0,
4.0,
3.0,only some
2.0,
0.0,only some
2.0,
0.0,
0.0,a great deal
0.0,
0.0,a great deal
0.0,a great deal
0.0,only some
1.0,
2.0,
0.0,only some
2.0,
2.0,only some
2.0,only some
0.0,
1.0,a great deal
2.0,
3.0,only some
0.0,only some
2.0,
0.0,a great deal
5.0,only some
2.0,
2.0,only some
0.0,
2.0,
0.0,
3.0,a great deal
4.0,hardly any
1.0,
0.0,
2.0,
0.0,a great deal
2.0,a great deal
4.0,only some
0.0,hardly any
3.0,
0.0,a great deal
1.0,
2.0,a great deal
2.0,a great deal
3.0,
8.0,only some
3.0,
2.0,only some
0.0,a great deal
2.0,only some
3.0,only some
0.0,only some
0.0,
1.0,a great deal
0.0,
2.0,
1.0,only some
1.0,
0.0,a great deal
2.0,hardly any
2.0,only some
0.0,
2.0,a great deal
3.0,hardly any
3.0,only some
3.0,
4.0,only some
0.0,a great deal
1.0,a great deal
1.0,
3.0,a great deal
2.0,
3.0,hardly any
1.0,
0.0,a great deal
2.0,
6.0,only some
0.0,only some
0.0,
0.0,
3.0,only some
0.0,
0.0,only some
2.0,only some
4.0,
2.0,
1.0,only some
3.0,
2.0,only some
2.0,only some
3.0,only some
3.0,
0.0,a great deal
1.0,
2.0,hardly any
3.0,
1.0,hardly any
0.0,
0.0,a great deal
0.0,a great deal
0.0,
3.0,only some
2.0,a great deal
0.0,a great deal
0.0,only some
0.0,a great deal
8.0,
0.0,a great deal
0.0,
5.0,only some
8.0,
2.0,a great deal
0.0,a great deal
3.0,
0.0,only some
0.0,only some
0.0,a great deal
0.0,
2.0,only some
3.0,a great deal
3.0,
1.0,a great deal
0.0,only some
3.0,only some
2.0,a great deal
3.0,a great deal
3.0,a great deal
2.0,
1.0,only some
2.0,
2.0,only some
2.0,a great deal
0.0,
0.0,only some
2.0,only some
2.0,
2.0,only some
2.0,
0.0,a great deal
2.0,hardly any
5.0,
3.0,only some
6.0,
3.0,only some
0.0,only some
2.0,a great deal
5.0,
3.0,only some
0.0,only some
3.0,
0.0,only some
2.0,a great deal
2.0,
4.0,only some
2.0,only some
0.0,a great deal
2.0,
1.0,hardly any
3.0,only some
0.0,
1.0,a great deal
2.0,only some
3.0,
7.0,a great deal
0.0,
4.0,only some
7.0,
0.0,only some
2.0,
2.0,
0.0,a great deal
4.0,
2.0,
2.0,a great deal
4.0,a great deal
3.0,
3.0,a great deal
3.0,a great deal
3.0,
2.0,only some
2.0,
2.0,a great deal
4.0,
3.0,a great deal
1.0,a great deal
1.0,only some
8.0,only some
8.0,
0.0,hardly any
2.0,only some
0.0,
5.0,only some
1.0,hardly any
0.0,only some
0.0,
7.0,hardly any
2.0,
1.0,only some
2.0,
2.0,a great deal
0.0,
2.0,only some
7.0,
2.0,only some
3.0,only some
6.0,
2.0,
1.0,a great deal
2.0,only some
0.0,a great deal
0.0,a great deal
4.0,a great deal
2.0,only some
0.0,
0.0,a great deal
2.0,only some
1.0,only some
0.0,a great deal
3.0,a great deal
0.0,a great deal
3.0,a great deal
0.0,only some
5.0,only some
1.0,only some
0.0,
2.0,
1.0,
0.0,a great deal
1.0,only some
0.0,
1.0,a great deal
2.0,a great deal
2.0,
3.0,only some
2.0,
0.0,only some
3.0,
3.0,only some
0.0,a great deal
1.0,only some
0.0,
6.0,a great deal
0.0,a great deal
0.0,only some
3.0,only some
0.0,only some
4.0,
4.0,a great deal
4.0,only some
1.0,a great deal
0.0,
0.0,a great deal
0.0,only some
0.0,
0.0,
6.0,only some
2.0,
2.0,only some
2.0,a great deal
1.0,
2.0,a great deal
2.0,
0.0,only some
0.0,a great deal
3.0,
3.0,
0.0,only some
2.0,
0.0,a great deal
1.0,only some
2.0,
4.0,
2.0,only some
0.0,only some
0.0,
0.0,a great deal
2.0,a great deal
2.0,only some
0.0,only some
0.0,only some
0.0,a great deal
0.0,a great deal
2.0,a great deal
0.0,
0.0,only some
1.0,
2.0,a great deal
3.0,
0.0,
0.0,only some
0.0,
0.0,hardly any
0.0,hardly any
0.0,only some
0.0,
4.0,hardly any
3.0,only some
4.0,hardly any
1.0,a great deal
3.0,hardly any
2.0,
2.0,a great deal
3.0,a great deal
1.0,
3.0,
5.0,only some
0.0,only some
2.0,
1.0,a great deal
3.0,a great deal
5.0,
2.0,only some
3.0,only some
5.0,
1.0,only some
3.0,
1.0,a great deal
3.0,
0.0,a great deal
2.0,
4.0,a great deal
5.0,
3.0,a great deal
2.0,
3.0,hardly any
3.0,a great deal
4.0,
3.0,a great deal
4.0,a great deal
1.0,
4.0,hardly any
3.0,a great deal
1.0,a great deal
0.0,a great deal
1.0,a great deal
2.0,a great deal
8.0,
3.0,a great deal
3.0,
2.0,only some
3.0,only some
3.0,
2.0,
5.0,only some
8.0,only some
2.0,
0.0,a great deal
5.0,
1.0,a great deal
0.0,
0.0,a great deal
3.0,
2.0,
2.0,a great deal
2.0,
2.0,
1.0,only some
2.0,only some
2.0,
3.0,a great deal
6.0,only some
1.0,
0.0,
0.0,a great deal
2.0,
2.0,a great deal
3.0,a great deal
2.0,only some
0.0,
0.0,only some
0.0,a great deal
4.0,
0.0,a great deal
2.0,only some
1.0,
2.0,
6.0,a great deal
0.0,
0.0,a great deal
0.0,a great deal
3.0,
1.0,hardly any
5.0,only some
4.0,
0.0,a great deal
3.0,a great deal
5.0,a great deal
2.0,a great deal
2.0,
7.0,a great deal
1.0,
4.0,only some
2.0,a great deal
1.0,
0.0,hardly any
1.0,a great deal
2.0,only some
0.0,a great deal
2.0,hardly any
2.0,hardly any
3.0,only some
4.0,a great deal
1.0,a great deal
3.0,hardly any
0.0,a great deal
1.0,only some
3.0,
3.0,a great deal
2.0,only some
2.0,only some
1.0,a great deal
1.0,
0.0,a great deal
3.0,only some
3.0,
2.0,a great deal
2.0,
4.0,hardly any
0.0,only some
2.0,
3.0,only some
8.0,
6.0,a great deal
2.0,only some
2.0,
0.0,a great deal
1.0,only some
6.0,
4.0,a great deal
1.0,only some
0.0,only some
1.0,a great deal
3.0,a great deal
0.0,a great deal
5.0,only some
5.0,a great deal
2.0,only some
2.0,a great deal
0.0,only some
3.0,a great deal
1.0,only some
7.0,
0.0,
4.0,only some
3.0,
0.0,hardly any
0.0,only some
0.0,only some
1.0,only some
2.0,only some
1.0,
0.0,only some
2.0,a great deal
0.0,hardly any
1.0,a great deal
1.0,
1.0,only some
0.0,only some
1.0,
2.0,hardly any
2.0,a great deal
4.0,hardly any
0.0,only some
1.0,only some
1.0,
0.0,a great deal
0.0,only some
3.0,
2.0,
5.0,only some
2.0,
1.0,hardly any
8.0,only some
0.0,
1.0,a great deal
2.0,
1.0,a great deal
0.0,only some
4.0,only some
3.0,a great deal
0.0,hardly any
3.0,
0.0,only some
2.0,hardly any
2.0,
2.0,a great deal
3.0,only some
7.0,a great deal
3.0,
2.0,only some
4.0,a great deal
2.0,a great deal
0.0,
4.0,a great deal
3.0,only some
3.0,
1.0,hardly any
5.0,
4.0,a great deal
0.0,
2.0,only some
1.0,
1.0,hardly any
0.0,
0.0,
0.0,a great deal
1.0,only some
2.0,only some
2.0,a great deal
3.0,
4.0,hardly any
1.0,only some
3.0,only some
0.0,hardly any
3.0,only some
0.0,only some
0.0,a great deal
3.0,only some
2.0,only some
2.0,only some
0.0,
2.0,
0.0,a great deal
1.0,a great deal
2.0,only some
3.0,a great deal
3.0,
,
2.0,only some
2.0,only some
1.0,a great deal
1.0,only some
0.0,a great deal
0.0,a great deal
0.0,only some
3.0,hardly any
2.0,only some
2.0,
2.0,
0.0,only some
4.0,a great deal
5.0,
5.0,a great deal
5.0,a great deal
0.0,
0.0,a great deal
1.0,
2.0,only some
0.0,
1.0,only some
0.0,
1.0,only some
0.0,
2.0,only some
3.0,only some
3.0,
2.0,a great deal
1.0,only some
4.0,a great deal
0.0,only some
2.0,a great deal
0.0,a great deal
0.0,
1.0,
1.0,a great deal
1.0,a great deal
4.0,only some
2.0,only some
4.0,
0.0,a great deal
4.0,only some
0.0,a great deal
2.0,a great deal
3.0,
2.0,only some
2.0,only some
1.0,only some
1.0,only some
3.0,a great deal
3.0,only some
1.0,
2.0,
5.0,hardly any
2.0,only some
3.0,
5.0,only some
0.0,a great deal
2.0,
0.0,only some
3.0,only some
2.0,
0.0,hardly any
0.0,hardly any
2.0,
3.0,a great deal
0.0,
5.0,only some
1.0,
2.0,a great deal
2.0,
5.0,a great deal
1.0,only some
2.0,
0.0,only some
1.0,
1.0,hardly any
1.0,
4.0,a great deal
2.0,
3.0,a great deal
4.0,
0.0,
0.0,a great deal
1.0,only some
2.0,only some
0.0,
1.0,only some
1.0,
0.0,
4.0,a great deal
2.0,a great deal
1.0,
5.0,hardly any
4.0,a great deal
2.0,
1.0,hardly any
1.0,a great deal
0.0,only some
4.0,hardly any
1.0,
1.0,only some
2.0,a great deal
3.0,
0.0,only some
3.0,only some
1.0,only some
3.0,only some
2.0,only some
0.0,
2.0,a great deal
2.0,
2.0,only some
3.0,only some
1.0,
4.0,
0.0,
1.0,hardly any
2.0,only some
6.0,
4.0,hardly any
6.0,only some
4.0,a great deal
2.0,
6.0,only some
2.0,
3.0,only some
4.0,only some
6.0,
3.0,a great deal
0.0,
1.0,only some
8.0,only some
6.0,a great deal
2.0,only some
3.0,
2.0,
2.0,only some
1.0,only some
0.0,only some
8.0,
2.0,only some
2.0,only some
3.0,
2.0,
0.0,
4.0,hardly any
2.0,
2.0,only some
0.0,hardly any
3.0,only some
1.0,only some
4.0,only some
7.0,
2.0,only some
3.0,
1.0,a great deal
4.0,
5.0,hardly any
1.0,only some
1.0,hardly any
3.0,a great deal
2.0,
3.0,only some
4.0,
1.0,only some
7.0,hardly any
2.0,only some
2.0,
2.0,only some
1.0,
1.0,only some
1.0,only some
5.0,a great deal
0.0,
1.0,hardly any
4.0,
0.0,only some
5.0,a great deal
2.0,
0.0,a great deal
3.0,
1.0,
2.0,only some
2.0,hardly any
0.0,
6.0,only some
2.0,
2.0,only some
2.0,a great deal
3.0,a great deal
2.0,
1.0,only some
1.0,a great deal
1.0,a great deal
0.0,
0.0,only some
8.0,only some
3.0,only some
0.0,
0.0,only some
2.0,
2.0,
1.0,a great deal
2.0,a great deal
2.0,a great deal
0.0,
0.0,a great deal
5.0,a great deal
2.0,
1.0,hardly any
3.0,a great deal
0.0,only some
6.0,
4.0,only some
3.0,only some
3.0,
2.0,only some
2.0,
1.0,only some
4.0,
1.0,a great deal
3.0,only some
2.0,
3.0,a great deal
2.0,hardly any
2.0,only some
0.0,only some
3.0,
2.0,only some
4.0,hardly any
1.0,hardly any
2.0,only some
4.0,
2.0,only some
3.0,only some
0.0,
3.0,only some
3.0,
0.0,a great deal
1.0,only some
2.0,
8.0,
3.0,only some
2.0,hardly any
2.0,a great deal
2.0,a great deal
2.0,
2.0,hardly any
0.0,only some
2.0,
0.0,only some
0.0,only some
1.0,hardly any
2.0,
2.0,
2.0,hardly any
1.0,only some
0.0,a great deal
3.0,
2.0,only some
5.0,a great deal
2.0,only some
3.0,only some
0.0,hardly any
4.0,a great deal
2.0,only some
3.0,
1.0,only some
0.0,
1.0,a great deal
3.0,
1.0,a great deal
4.0,only some
0.0,
1.0,a great deal
3.0,
3.0,only some
2.0,hardly any
2.0,only some
4.0,a great deal
4.0,
2.0,a great deal
2.0,only some
2.0,only some
1.0,only some
2.0,only some
3.0,
2.0,
0.0,
2.0,
3.0,only some
3.0,only some
3.0,a great deal
8.0,
0.0,only some
1.0,hardly any
2.0,only some
0.0,hardly any
1.0,a great deal
0.0,only some
1.0,only some
6.0,a great deal
0.0,hardly any
1.0,only some
0.0,a great deal
1.0,
2.0,only some
0.0,
3.0,
4.0,a great deal
2.0,a great deal
0.0,only some
3.0,
4.0,only some
3.0,
3.0,a great deal
3.0,only some
2.0,a great deal
3.0,a great deal
5.0,
2.0,hardly any
1.0,
2.0,only some
2.0,a great deal
2.0,
0.0,a great deal
2.0,only some
2.0,
3.0,hardly any
5.0,
0.0,only some
0.0,a great deal
3.0,
2.0,only some
0.0,
0.0,only some
5.0,a great deal
3.0,only some
1.0,a great deal
4.0,only some
8.0,
8.0,only some
0.0,
1.0,only some
3.0,
1.0,a great deal
1.0,a great deal
5.0,only some
0.0,a great deal
0.0,a great deal
0.0,a great deal
1.0,a great deal
2.0,
3.0,only some
1.0,hardly any
0.0,a great deal
4.0,
0.0,only some
2.0,
1.0,only some
0.0,
6.0,only some
1.0,only some
2.0,only some
5.0,only some
3.0,hardly any
2.0,
0.0,only some
0.0,
0.0,a great deal
8.0,hardly any
4.0,
2.0,only some
2.0,
0.0,a great deal
0.0,a great deal
1.0,
0.0,only some
0.0,a great deal
3.0,
6.0,a great deal
5.0,only some
5.0,
3.0,a great deal
3.0,only some
0.0,only some
3.0,
1.0,hardly any
2.0,a great deal
2.0,
3.0,
0.0,only some
2.0,a great deal
1.0,hardly any
0.0,a great deal
0.0,a great deal
4.0,a great deal
2.0,
3.0,only some
2.0,a great deal
1.0,
5.0,only some
7.0,only some
2.0,
2.0,only some
2.0,a great deal
4.0,
0.0,a great deal
4.0,
1.0,a great deal
1.0,only some
3.0,only some
1.0,a great deal
7.0,only some
1.0,
1.0,
1.0,hardly any
3.0,only some
0.0,a great deal
2.0,
2.0,only some
2.0,a great deal
1.0,
2.0,
3.0,only some
2.0,
4.0,a great deal
0.0,only some
2.0,
0.0,only some
1.0,
3.0,a great deal
2.0,a great deal
3.0,
2.0,only some
2.0,a great deal
2.0,a great deal
3.0,only some
0.0,
1.0,a great deal
3.0,hardly any
5.0,hardly any
3.0,only some
1.0,only some
4.0,
0.0,only some
6.0,
4.0,a great deal
3.0,only some
4.0,
4.0,hardly any
4.0,only some
2.0,only some
2.0,
2.0,
0.0,only some
2.0,a great deal
1.0,
1.0,only some
1.0,
0.0,hardly any
0.0,
1.0,a great deal
2.0,only some
1.0,only some
3.0,
2.0,a great deal
6.0,
0.0,only some
1.0,a great deal
2.0,
8.0,only some
2.0,
3.0,a great deal
1.0,
2.0,only some
0.0,only some
2.0,
1.0,a great deal
1.0,a great deal
2.0,
1.0,
0.0,
1.0,
1.0,hardly any
2.0,only some
0.0,
4.0,a great deal
0.0,a great deal
4.0,only some
0.0,only some
2.0,
2.0,a great deal
2.0,a great deal
1.0,only some
0.0,only some
0.0,
0.0,a great deal
2.0,a great deal
2.0,a great deal
3.0,only some
2.0,
2.0,only some
3.0,a great deal
2.0,
0.0,only some
6.0,
3.0,only some
4.0,a great deal
6.0,
4.0,a great deal
4.0,a great deal
3.0,a great deal
5.0,only some
6.0,only some
0.0,
8.0,a great deal
1.0,hardly any
2.0,only some
2.0,only some
2.0,only some
2.0,a great deal
0.0,
2.0,
3.0,a great deal
2.0,
0.0,a great deal
2.0,a great deal
0.0,a great deal
1.0,only some
0.0,only some
2.0,a great deal
0.0,
0.0,a great deal
0.0,
2.0,hardly any
0.0,a great deal
2.0,only some
0.0,only some
3.0,a great deal
2.0,a great deal
3.0,a great deal
3.0,only some
2.0,only some
4.0,only some
1.0,only some
2.0,only some
2.0,a great deal
2.0,
1.0,only some
2.0,a great deal
3.0,
1.0,a great deal
3.0,
5.0,only some
6.0,a great deal
2.0,
2.0,only some
2.0,only some
1.0,a great deal
2.0,
0.0,only some
2.0,hardly any
1.0,
0.0,a great deal
2.0,a great deal
0.0,
3.0,
3.0,only some
2.0,
2.0,only some
3.0,a great deal
2.0,only some
3.0,a great deal
2.0,only some
2.0,only some
0.0,hardly any
0.0,only some
2.0,
1.0,only some
0.0,only some
0.0,only some
3.0,only some
0.0,
2.0,a great deal
2.0,only some
3.0,
0.0,
1.0,only some
2.0,
3.0,only some
2.0,a great deal
2.0,only some
0.0,
0.0,
0.0,
2.0,only some
0.0,
1.0,only some
1.0,a great deal
0.0,only some
0.0,
3.0,hardly any
0.0,
2.0,only some
0.0,only some
2.0,only some
1.0,a great deal
0.0,
0.0,only some
2.0,
3.0,only some
4.0,
2.0,only some
3.0,only some
3.0,
3.0,a great deal
0.0,a great deal
0.0,a great deal
0.0,only some
2.0,only some
2.0,only some
2.0,
5.0,only some
3.0,only some
3.0,a great deal
1.0,only some
0.0,
2.0,a great deal
1.0,hardly any
0.0,only some
3.0,only some
4.0,only some
3.0,a great deal
2.0,a great deal
2.0,
3.0,a great deal
2.0,only some
2.0,only some
2.0,only some
0.0,only some
1.0,a great deal
4.0,only some
0.0,
1.0,a great deal
2.0,
3.0,only some
5.0,a great deal
0.0,
2.0,a great deal
3.0,a great deal
2.0,a great deal
0.0,hardly any
0.0,only some
1.0,hardly any
1.0,a great deal
1.0,only some
1.0,
4.0,hardly any
2.0,a great deal
2.0,a great deal
0.0,
0.0,only some
0.0,a great deal
0.0,only some
1.0,only some
2.0,only some
0.0,
0.0,a great deal
0.0,
0.0,only some
0.0,
0.0,a great deal
3.0,a great deal
1.0,only some
4.0,a great deal
3.0,
3.0,a great deal
2.0,only some
1.0,a great deal
4.0,hardly any
0.0,only some
2.0,
2.0,only some
3.0,a great deal
0.0,
1.0,a great deal
2.0,a great deal
1.0,
0.0,a great deal
3.0,only some
2.0,
8.0,only some
2.0,only some
0.0,
0.0,only some
4.0,hardly any
0.0,
1.0,a great deal
2.0,only some
0.0,only some
5.0,
0.0,only some
0.0,a great deal
0.0,
3.0,
0.0,a great deal
0.0,only some
1.0,a great deal
4.0,a great deal
2.0,only some
2.0,a great deal
5.0,only some
1.0,only some
3.0,
3.0,only some
4.0,a great deal
1.0,
0.0,a great deal
3.0,
4.0,
0.0,only some
0.0,
2.0,only some
2.0,only some
2.0,
0.0,
1.0,a great deal
4.0,a great deal
1.0,a great deal
4.0,a great deal
2.0,
2.0,
4.0,only some
2.0,a great deal
2.0,
1.0,only some
4.0,
3.0,only some
0.0,
2.0,a great deal
0.0,a great deal
1.0,
8.0,only some
0.0,a great deal
3.0,a great deal
1.0,
2.0,only some
0.0,
3.0,a great deal
1.0,
8.0,only some
1.0,hardly any
3.0,a great deal
3.0,hardly any
2.0,only some
1.0,a great deal
2.0,a great deal
3.0,
2.0,
2.0,a great deal
2.0,a great deal
3.0,
2.0,only some
2.0,
2.0,only some
3.0,a great deal
3.0,
2.0,only some
4.0,only some
4.0,only some
2.0,only some
2.0,
0.0,only some
1.0,
2.0,only some
1.0,only some
0.0,
1.0,only some
2.0,
0.0,hardly any
4.0,
3.0,only some
0.0,only some
,a great deal
6.0,
4.0,only some
3.0,a great deal
4.0,only some
3.0,only some
0.0,hardly any
1.0,
4.0,a great deal
1.0,
0.0,only some
4.0,only some
0.0,only some
0.0,
3.0,hardly any
0.0,a great deal
0.0,
2.0,a great deal
2.0,
3.0,a great deal
0.0,
8.0,only some
5.0,
3.0,a great deal
1.0,a great deal
2.0,
2.0,only some
3.0,
2.0,hardly any
2.0,a great deal
3.0,only some
2.0,only some
0.0,a great deal
1.0,a great deal
3.0,
3.0,
0.0,a great deal
2.0,a great deal
0.0,
0.0,only some
0.0,a great deal
0.0,only some
0.0,
0.0,a great deal
2.0,a great deal
1.0,
2.0,only some
2.0,
3.0,only some
3.0,
5.0,only some
3.0,only some
2.0,
2.0,a great deal
3.0,
0.0,only some
0.0,a great deal
3.0,only some
0.0,
0.0,only some
1.0,
0.0,only some
1.0,
0.0,only some
4.0,a great deal
0.0,
1.0,
1.0,a great deal
3.0,a great deal
0.0,
0.0,only some
0.0,
6.0,a great deal
2.0,
4.0,a great deal
3.0,
3.0,only some
2.0,
1.0,only some
0.0,hardly any
3.0,a great deal
3.0,only some
4.0,
2.0,
4.0,a great deal
2.0,only some
0.0,
7.0,a great deal
2.0,
2.0,only some
0.0,only some
0.0,
0.0,only some
2.0,only some
2.0,only some
2.0,
2.0,a great deal
2.0,
3.0,
0.0,a great deal
2.0,
0.0,a great deal
3.0,only some
0.0,
0.0,only some
0.0,
0.0,
2.0,only some
0.0,a great deal
2.0,
4.0,only some
0.0,a great deal
0.0,
0.0,a great deal
0.0,only some
0.0,hardly any
2.0,a great deal
3.0,
2.0,hardly any
0.0,a great deal
2.0,
0.0,hardly any
0.0,
1.0,
4.0,a great deal
2.0,only some
2.0,only some
0.0,hardly any
2.0,
4.0,only some
0.0,
3.0,
0.0,only some
0.0,a great deal
0.0,
0.0,only some
0.0,only some
0.0,
0.0,only some
2.0,
3.0,a great deal
3.0,a great deal
4.0,only some
0.0,only some
4.0,a great deal
2.0,
2.0,a great deal
2.0,
0.0,only some
2.0,
3.0,a great deal
2.0,a great deal
2.0,
1.0,only some
3.0,a great deal
6.0,a great deal
0.0,hardly any
1.0,only some
2.0,
1.0,a great deal
0.0,
2.0,a great deal
2.0,only some
0.0,a great deal
0.0,
0.0,a great deal
1.0,only some
3.0,
0.0,only some
3.0,a great deal
0.0,
2.0,only some
0.0,
2.0,only some
0.0,a great deal
1.0,only some
2.0,hardly any
3.0,a great deal
2.0,
0.0,a great deal
0.0,
1.0,a great deal
0.0,
0.0,only some
3.0,hardly any
3.0,
0.0,only some
8.0,only some
0.0,
0.0,only some
0.0,
2.0,a great deal
1.0,
4.0,hardly any
2.0,only some
4.0,hardly any
3.0,only some
3.0,
3.0,a great deal
0.0,only some
3.0,only some
5.0,
1.0,only some
1.0,
1.0,a great deal
1.0,a great deal
1.0,only some
1.0,
2.0,a great deal
1.0,only some
3.0,a great deal
2.0,only some
6.0,hardly any
2.0,only some
0.0,
2.0,a great deal
4.0,
4.0,a great deal
0.0,
2.0,a great deal
0.0,
2.0,only some
2.0,only some
4.0,
4.0,
0.0,only some
2.0,
2.0,only some
3.0,only some
2.0,only some
4.0,
1.0,a great deal
1.0,only some
0.0,a great deal
5.0,a great deal
2.0,a great deal
0.0,
2.0,a great deal
0.0,only some
4.0,only some
0.0,only some
0.0,only some
0.0,a great deal
3.0,hardly any
2.0,only some
4.0,a great deal
4.0,only some
2.0,only some
2.0,a great deal
2.0,
2.0,a great deal
4.0,
0.0,only some
5.0,
4.0,
2.0,a great deal
0.0,only some
4.0,
3.0,only some
0.0,only some
2.0,only some
0.0,a great deal
4.0,hardly any
2.0,only some
0.0,only some
2.0,only some
3.0,
2.0,hardly any
3.0,
2.0,only some
0.0,only some
4.0,
3.0,
5.0,
3.0,a great deal
2.0,a great deal
3.0,hardly any
8.0,
2.0,only some
4.0,
3.0,only some
0.0,only some
0.0,
1.0,
3.0,only some
2.0,only some
2.0,
3.0,hardly any
3.0,
8.0,only some
1.0,
4.0,hardly any
3.0,
0.0,a great deal
3.0,only some
2.0,a great deal
4.0,a great deal
3.0,only some
2.0,a great deal
4.0,a great deal
2.0,a great deal
6.0,a great deal
0.0,a great deal
0.0,only some
2.0,
4.0,a great deal
2.0,
2.0,
0.0,only some
2.0,
0.0,a great deal
1.0,
2.0,a great deal
3.0,only some
1.0,
0.0,
3.0,a great deal
0.0,
3.0,only some
0.0,
5.0,a great deal
2.0,
1.0,a great deal
1.0,
0.0,only some
3.0,a great deal
5.0,a great deal
1.0,
8.0,
4.0,hardly any
0.0,only some
0.0,
5.0,hardly any
2.0,hardly any
4.0,hardly any
2.0,a great deal
2.0,
2.0,
0.0,only some
0.0,
0.0,a great deal
0.0,a great deal
0.0,
5.0,hardly any
1.0,only some
1.0,
2.0,
1.0,only some
4.0,
3.0,only some
2.0,only some
2.0,only some
2.0,only some
3.0,only some
3.0,a great deal
2.0,
5.0,only some
2.0,a great deal
0.0,
0.0,
2.0,a great deal
0.0,only some
0.0,only some
7.0,only some
3.0,only some
0.0,only some
1.0,only some
