abhlth,abrape,conmedic,abimp,marital,childs
yes,yes,a great deal,,never married,0.0
yes,yes,hardly any,,widowed,5.0
yes,no,a great deal,,married,2.0
yes,no,only some,,married,1.0
yes,yes,only some,,married,0.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,married,3.0
yes,yes,a great deal,,widowed,1.0
yes,yes,a great deal,,widowed,3.0
yes,yes,only some,,widowed,2.0
yes,yes,only some,,widowed,1.0
yes,yes,hardly any,,widowed,2.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,widowed,4.0
yes,yes,hardly any,,married,3.0
yes,yes,only some,,married,2.0
yes,no,only some,,married,3.0
yes,yes,only some,,married,6.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,married,3.0
no,no,only some,,married,4.0
yes,yes,a great deal,,married,3.0
no,yes,a great deal,,divorced,2.0
yes,yes,a great deal,,married,3.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,married,3.0
no,no,a great deal,,widowed,6.0
yes,yes,only some,,never married,0.0
yes,yes,only some,,married,4.0
yes,yes,only some,,married,2.0
yes,yes,only some,,married,2.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,married,1.0
yes,,a great deal,,married,0.0
yes,yes,a great deal,,married,1.0
yes,yes,only some,,separated,4.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,married,1.0
,yes,a great deal,,married,2.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,married,4.0
yes,yes,a great deal,,married,0.0
yes,,hardly any,,never married,0.0
yes,yes,only some,,never married,0.0
yes,yes,a great deal,,married,3.0
no,yes,a great deal,,separated,2.0
yes,yes,hardly any,,married,0.0
yes,yes,a great deal,,married,4.0
no,no,a great deal,,never married,0.0
no,no,a great deal,,widowed,2.0
yes,yes,only some,,divorced,4.0
yes,,hardly any,,married,6.0
yes,no,only some,,never married,2.0
yes,yes,only some,,married,3.0
yes,yes,a great deal,,divorced,3.0
yes,yes,only some,,separated,3.0
no,yes,a great deal,,married,2.0
no,no,only some,,widowed,1.0
yes,yes,hardly any,,married,1.0
yes,yes,a great deal,,married,3.0
yes,yes,a great deal,,widowed,5.0
yes,yes,only some,,separated,2.0
yes,yes,only some,,married,3.0
yes,yes,only some,,never married,0.0
yes,no,a great deal,,never married,0.0
yes,no,a great deal,,married,1.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,married,1.0
yes,yes,a great deal,,married,4.0
yes,yes,only some,,married,6.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,never married,0.0
no,no,a great deal,,never married,0.0
yes,yes,a great deal,,married,2.0
no,no,a great deal,,never married,0.0
yes,yes,only some,,married,1.0
yes,yes,only some,,married,2.0
yes,yes,a great deal,,married,5.0
yes,yes,only some,,married,3.0
yes,yes,a great deal,,married,2.0
no,no,only some,,married,3.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,divorced,2.0
yes,yes,only some,,married,2.0
yes,yes,only some,,divorced,1.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,married,3.0
no,no,only some,,married,4.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,divorced,0.0
yes,no,only some,,never married,1.0
yes,yes,a great deal,,never married,3.0
yes,yes,a great deal,,married,0.0
yes,yes,a great deal,,married,4.0
yes,yes,only some,,never married,0.0
yes,yes,a great deal,,never married,0.0
yes,yes,only some,,divorced,2.0
yes,yes,a great deal,,never married,0.0
yes,,only some,,married,2.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,married,0.0
yes,yes,hardly any,,divorced,0.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,married,3.0
yes,yes,a great deal,,married,0.0
yes,yes,only some,,married,2.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,married,1.0
yes,yes,only some,,divorced,2.0
yes,yes,a great deal,,married,0.0
no,no,hardly any,,widowed,0.0
,yes,only some,,married,8.0
yes,yes,a great deal,,married,3.0
,,only some,,married,0.0
yes,no,a great deal,,never married,0.0
yes,yes,only some,,married,2.0
yes,yes,a great deal,,married,1.0
yes,yes,a great deal,,never married,0.0
no,yes,a great deal,,divorced,3.0
,,only some,,married,0.0
,no,only some,,married,0.0
yes,yes,a great deal,,never married,0.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,married,1.0
yes,yes,a great deal,,never married,1.0
yes,yes,only some,,widowed,3.0
yes,no,a great deal,,married,1.0
yes,yes,a great deal,,married,4.0
yes,no,a great deal,,married,4.0
yes,yes,a great deal,,widowed,2.0
yes,yes,only some,,widowed,3.0
yes,yes,a great deal,,widowed,2.0
yes,yes,a great deal,,widowed,0.0
yes,no,a great deal,,widowed,3.0
yes,yes,a great deal,,widowed,0.0
yes,yes,a great deal,,married,0.0
yes,yes,hardly any,,married,3.0
no,yes,only some,,widowed,5.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,married,4.0
no,,only some,,married,5.0
yes,yes,a great deal,,married,4.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,married,1.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,widowed,2.0
yes,yes,only some,,never married,0.0
yes,yes,only some,,never married,2.0
yes,yes,a great deal,,married,3.0
yes,yes,a great deal,,married,4.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,never married,0.0
,no,only some,,never married,0.0
yes,yes,a great deal,,divorced,0.0
yes,yes,only some,,never married,0.0
yes,no,a great deal,,never married,0.0
yes,yes,only some,,widowed,6.0
yes,yes,only some,,married,4.0
yes,yes,a great deal,,married,4.0
yes,yes,a great deal,,married,0.0
yes,yes,a great deal,,married,8.0
no,no,only some,,married,4.0
yes,yes,a great deal,,married,3.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,widowed,4.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,married,0.0
yes,yes,only some,,married,4.0
yes,yes,only some,,married,0.0
yes,yes,only some,,married,1.0
yes,yes,hardly any,,never married,0.0
yes,yes,only some,,married,3.0
yes,yes,a great deal,,married,2.0
yes,no,a great deal,,married,4.0
yes,yes,a great deal,,married,3.0
yes,yes,a great deal,,married,3.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,married,3.0
no,no,only some,,married,0.0
yes,yes,hardly any,,married,2.0
yes,yes,only some,,never married,0.0
no,no,a great deal,,married,2.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,married,4.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,divorced,0.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,never married,0.0
yes,yes,only some,,married,1.0
yes,yes,only some,,divorced,0.0
yes,yes,hardly any,,never married,0.0
yes,yes,hardly any,,never married,0.0
yes,yes,only some,,widowed,0.0
yes,no,a great deal,,never married,1.0
yes,no,,,married,2.0
yes,yes,a great deal,,married,4.0
,yes,a great deal,,widowed,0.0
yes,yes,a great deal,,never married,2.0
yes,yes,a great deal,,divorced,2.0
yes,yes,a great deal,,married,8.0
yes,yes,a great deal,,separated,3.0
yes,yes,only some,,married,1.0
yes,yes,only some,,married,1.0
yes,yes,hardly any,,married,2.0
yes,yes,only some,,married,1.0
yes,yes,only some,,married,1.0
yes,no,a great deal,,separated,0.0
yes,yes,a great deal,,widowed,1.0
yes,yes,only some,,married,7.0
yes,no,only some,,married,0.0
yes,yes,only some,,married,2.0
yes,yes,a great deal,,married,0.0
no,yes,only some,,married,2.0
yes,yes,a great deal,,married,4.0
yes,yes,a great deal,,married,2.0
no,no,a great deal,,never married,0.0
no,no,hardly any,,married,3.0
yes,yes,a great deal,,married,1.0
no,no,hardly any,,married,5.0
yes,no,only some,,married,2.0
yes,yes,a great deal,,married,5.0
yes,yes,a great deal,,married,4.0
yes,yes,a great deal,,married,7.0
yes,yes,only some,,married,3.0
yes,,a great deal,,married,2.0
yes,yes,only some,,married,2.0
yes,yes,only some,,married,3.0
yes,yes,a great deal,,married,4.0
yes,yes,a great deal,,married,3.0
yes,yes,a great deal,,married,4.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,married,6.0
yes,yes,a great deal,,married,4.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,married,3.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,married,4.0
yes,yes,hardly any,,married,2.0
no,no,a great deal,,divorced,0.0
,,,,separated,8.0
no,,only some,,never married,0.0
yes,yes,a great deal,,married,0.0
no,no,a great deal,,divorced,1.0
yes,yes,only some,,divorced,2.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,divorced,0.0
yes,yes,a great deal,,married,0.0
yes,yes,only some,,divorced,3.0
yes,yes,only some,,married,5.0
yes,yes,only some,,never married,0.0
yes,yes,only some,,never married,0.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,divorced,0.0
yes,yes,a great deal,,divorced,2.0
yes,yes,only some,,married,2.0
no,no,a great deal,,married,3.0
yes,yes,only some,,married,3.0
yes,yes,a great deal,,married,4.0
yes,yes,only some,,married,4.0
yes,yes,only some,,married,0.0
yes,yes,only some,,married,2.0
yes,yes,only some,,separated,0.0
yes,yes,only some,,never married,2.0
yes,yes,,,divorced,2.0
yes,yes,only some,,married,3.0
,,a great deal,,married,2.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,never married,0.0
yes,yes,only some,,married,1.0
yes,yes,only some,,married,0.0
yes,no,only some,,married,7.0
yes,yes,only some,,married,2.0
yes,yes,hardly any,,married,1.0
yes,no,only some,,married,4.0
yes,no,a great deal,,married,2.0
,,a great deal,,married,2.0
yes,yes,hardly any,,married,2.0
yes,yes,only some,,divorced,2.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,married,2.0
yes,yes,only some,,married,0.0
yes,no,a great deal,,married,0.0
yes,yes,only some,,married,2.0
yes,yes,only some,,married,1.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,married,3.0
yes,yes,only some,,married,2.0
yes,yes,only some,,married,2.0
no,no,a great deal,,married,
yes,yes,a great deal,,married,4.0
yes,yes,only some,,never married,0.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,never married,0.0
no,no,only some,,married,4.0
no,no,only some,,widowed,2.0
yes,yes,hardly any,,married,2.0
yes,yes,only some,,separated,5.0
yes,yes,hardly any,,married,2.0
,,only some,,widowed,1.0
yes,yes,only some,,never married,0.0
yes,yes,only some,,separated,1.0
yes,yes,a great deal,,married,1.0
yes,yes,a great deal,,married,1.0
yes,yes,a great deal,,widowed,2.0
yes,no,a great deal,,married,1.0
yes,no,a great deal,,separated,2.0
yes,no,only some,,married,8.0
no,no,a great deal,,never married,0.0
yes,yes,a great deal,,divorced,3.0
no,no,only some,,widowed,1.0
,no,hardly any,,married,2.0
yes,yes,a great deal,,married,0.0
yes,yes,a great deal,,married,1.0
yes,yes,a great deal,,never married,0.0
yes,yes,hardly any,,divorced,1.0
yes,yes,a great deal,,married,5.0
yes,no,only some,,widowed,2.0
yes,yes,a great deal,,divorced,1.0
yes,yes,hardly any,,never married,0.0
yes,yes,a great deal,,divorced,3.0
yes,yes,only some,,married,2.0
yes,yes,only some,,married,0.0
yes,yes,only some,,never married,0.0
yes,yes,only some,,divorced,5.0
yes,no,a great deal,,divorced,3.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,married,4.0
yes,yes,hardly any,,widowed,3.0
yes,yes,hardly any,,married,1.0
yes,yes,a great deal,,married,1.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,widowed,2.0
yes,yes,a great deal,,married,0.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,divorced,2.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,married,3.0
yes,yes,only some,,never married,1.0
yes,yes,a great deal,,married,0.0
yes,yes,a great deal,,married,7.0
yes,yes,hardly any,,married,6.0
no,,a great deal,,widowed,4.0
yes,yes,only some,,separated,5.0
yes,yes,only some,,married,1.0
yes,,hardly any,,married,0.0
yes,yes,a great deal,,widowed,5.0
yes,yes,only some,,married,3.0
yes,yes,only some,,married,5.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,married,4.0
yes,yes,only some,,married,3.0
yes,yes,a great deal,,never married,0.0
yes,yes,only some,,never married,0.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,never married,0.0
no,no,hardly any,,married,
yes,yes,,,never married,0.0
yes,yes,only some,,never married,0.0
,,,,widowed,1.0
yes,yes,only some,,married,0.0
yes,yes,only some,,married,0.0
yes,no,hardly any,,married,1.0
yes,yes,a great deal,,married,1.0
yes,yes,a great deal,,married,3.0
no,no,hardly any,,never married,0.0
yes,yes,only some,,never married,0.0
yes,yes,hardly any,,married,2.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,married,3.0
yes,yes,only some,,divorced,3.0
yes,yes,hardly any,,married,2.0
yes,no,a great deal,,divorced,2.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,never married,0.0
yes,yes,hardly any,,widowed,
yes,yes,hardly any,,divorced,4.0
yes,yes,a great deal,,married,1.0
yes,yes,a great deal,,married,0.0
yes,yes,only some,,divorced,1.0
yes,yes,a great deal,,never married,0.0
yes,yes,only some,,widowed,2.0
yes,yes,only some,,divorced,4.0
yes,yes,hardly any,,married,3.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,separated,2.0
yes,yes,a great deal,,never married,0.0
yes,yes,only some,,never married,0.0
yes,yes,hardly any,,married,0.0
yes,yes,hardly any,,separated,2.0
yes,no,a great deal,,married,4.0
yes,yes,only some,,widowed,3.0
yes,yes,only some,,married,0.0
yes,yes,only some,,married,2.0
yes,yes,hardly any,,married,3.0
yes,yes,a great deal,,married,1.0
yes,yes,only some,,married,2.0
yes,,a great deal,,never married,0.0
yes,yes,only some,,married,0.0
yes,yes,only some,,married,2.0
yes,yes,a great deal,,divorced,0.0
yes,yes,a great deal,,married,1.0
yes,yes,hardly any,,separated,2.0
yes,yes,hardly any,,married,2.0
yes,yes,only some,,married,2.0
yes,yes,only some,,married,2.0
yes,yes,hardly any,,never married,0.0
yes,yes,a great deal,,separated,1.0
yes,yes,only some,,married,2.0
yes,no,only some,,never married,0.0
yes,yes,a great deal,,married,0.0
yes,yes,only some,,never married,0.0
yes,yes,only some,,married,1.0
yes,yes,only some,,divorced,0.0
yes,yes,only some,,married,2.0
yes,yes,a great deal,,married,3.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,married,2.0
yes,yes,a great deal,,married,0.0
yes,yes,hardly any,,divorced,4.0
yes,yes,hardly any,,married,3.0
yes,yes,a great deal,,married,1.0
yes,yes,a great deal,,divorced,3.0
no,no,only some,,married,3.0
yes,yes,a great deal,,married,5.0
yes,yes,only some,,widowed,2.0
yes,no,only some,,married,6.0
yes,yes,a great deal,,divorced,4.0
yes,yes,hardly any,,married,4.0
yes,yes,a great deal,,divorced,2.0
yes,yes,a great deal,,never married,0.0
yes,yes,only some,,widowed,2.0
yes,yes,only some,,married,7.0
yes,yes,only some,,never married,0.0
yes,yes,only some,,married,7.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,widowed,0.0
yes,yes,a great deal,,married,0.0
yes,yes,only some,,never married,0.0
yes,yes,hardly any,,divorced,4.0
yes,yes,only some,,married,3.0
no,,only some,,divorced,3.0
yes,yes,a great deal,,divorced,4.0
yes,yes,only some,,married,4.0
yes,yes,only some,,married,1.0
yes,yes,a great deal,,married,2.0
yes,no,a great deal,,divorced,7.0
yes,yes,hardly any,,divorced,0.0
yes,yes,only some,,divorced,0.0
yes,yes,only some,,married,4.0
yes,no,only some,,married,1.0
yes,yes,only some,,married,2.0
yes,yes,a great deal,,married,5.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,married,2.0
yes,yes,only some,,divorced,3.0
yes,yes,a great deal,,married,3.0
yes,yes,a great deal,,married,5.0
yes,yes,only some,,never married,0.0
yes,no,only some,,divorced,2.0
yes,yes,a great deal,,married,0.0
yes,yes,hardly any,,married,2.0
yes,yes,only some,,married,2.0
yes,yes,only some,,never married,0.0
yes,yes,only some,,separated,2.0
yes,no,only some,,married,3.0
yes,yes,only some,,married,2.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,married,1.0
yes,yes,a great deal,,divorced,2.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,widowed,1.0
yes,yes,only some,,never married,0.0
yes,no,a great deal,,married,0.0
yes,yes,a great deal,,never married,0.0
yes,yes,a great deal,,divorced,1.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,married,4.0
yes,yes,a great deal,,never married,0.0
yes,yes,only some,,married,1.0
yes,yes,only some,,married,5.0
yes,yes,a great deal,,married,1.0
yes,yes,only some,,married,4.0
yes,yes,a great deal,,married,4.0
yes,yes,hardly any,,married,4.0
yes,yes,only some,,divorced,2.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,married,2.0
yes,yes,a great deal,,married,3.0
yes,yes,only some,,widowed,2.0
yes,,only some,,widowed,8.0
no,no,only some,,married,8.0
yes,yes,only some,,widowed,4.0
yes,yes,a great deal,,divorced,4.0
yes,no,only some,,married,6.0
no,no,only some,,married,4.0
yes,yes,a great deal,,divorced,3.0
yes,yes,a great deal,,married,2.0
yes,no,hardly any,,married,2.0
yes,yes,a great deal,,married,2.0
yes,yes,hardly any,,married,7.0
no,no,a great deal,,married,4.0
yes,no,a great deal,,married,1.0
yes,no,a great deal,,married,4.0
yes,yes,a great deal,,never married,0.0
yes,yes,only some,,married,4.0
yes,yes,only some,,married,3.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,married,3.0
yes,,only some,,married,3.0
yes,yes,only some,,never married,0.0
yes,yes,only some,,married,6.0
yes,yes,only some,,married,0.0
,,a great deal,,never married,
yes,yes,only some,,widowed,2.0
yes,yes,only some,,married,3.0
yes,yes,only some,,married,0.0
yes,no,only some,,widowed,3.0
yes,,only some,,married,3.0
yes,yes,a great deal,,widowed,3.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,widowed,6.0
yes,yes,a great deal,,never married,0.0
no,no,a great deal,,married,5.0
yes,yes,a great deal,,never married,0.0
yes,no,only some,,married,0.0
yes,yes,a great deal,,married,2.0
yes,yes,only some,,married,1.0
yes,yes,only some,,married,0.0
yes,yes,a great deal,,married,4.0
yes,yes,only some,,widowed,0.0
yes,yes,a great deal,,married,2.0
yes,yes,a great deal,,married,1.0
yes,,a great deal,,married,2.0
yes,yes,a great deal,,never married,0.0
yes,,only some,,widowed,3.0
yes,yes,a great deal,,widowed,3.0
yes,yes,only some,,married,1.0
yes,yes,only some,,never married,0.0
